home,away,score,loc,year
Qatar , Ecuador,0–2,"Al Bayt Stadium, Al Khor",2022
Senegal , Netherlands,0–2,"Al Thumama Stadium, Doha",2022
Qatar , Senegal,1–3,"Al Thumama Stadium, Doha",2022
Netherlands , Ecuador,1–1,"Khalifa International Stadium, Al Rayyan",2022
Ecuador , Senegal,Match 35,"Khalifa International Stadium, Al Rayyan",2022
Netherlands , Qatar,Match 36,"Al Bayt Stadium, Al Khor",2022
England , Iran,6–2,"Khalifa International Stadium, Al Rayyan",2022
United States , Wales,1–1,"Ahmad bin Ali Stadium, Al Rayyan",2022
Wales , Iran,0–2,"Ahmad bin Ali Stadium, Al Rayyan",2022
England , United States,0–0,"Al Bayt Stadium, Al Khor",2022
Wales , England,Match 33,"Ahmad bin Ali Stadium, Al Rayyan",2022
Iran , United States,Match 34,"Al Thumama Stadium, Doha",2022
Argentina , Saudi Arabia,1–2,"Lusail Iconic Stadium, Lusail",2022
Mexico , Poland,0–0,"Stadium 974, Doha",2022
Poland , Saudi Arabia,2–0,"Education City Stadium, Al Rayyan",2022
Argentina , Mexico,2–0,"Lusail Iconic Stadium, Lusail",2022
Poland , Argentina,Match 39,"Stadium 974, Doha",2022
Saudi Arabia , Mexico,Match 40,"Lusail Iconic Stadium, Lusail",2022
Denmark , Tunisia,0–0,"Education City Stadium, Al Rayyan",2022
France , Australia,4–1,"Al Janoub Stadium, Al Wakrah",2022
Tunisia , Australia,0–1,"Al Janoub Stadium, Al Wakrah",2022
France , Denmark,2–1,"Stadium 974, Doha",2022
Australia , Denmark,Match 37,"Al Janoub Stadium, Al Wakrah",2022
Tunisia , France,Match 38,"Education City Stadium, Al Rayyan",2022
Germany , Japan,1–2,"Khalifa International Stadium, Al Rayyan",2022
Spain , Costa Rica,7–0,"Al Thumama Stadium, Doha",2022
Japan , Costa Rica,0–1,"Ahmad bin Ali Stadium, Al Rayyan",2022
Spain , Germany,Match 28,"Al Bayt Stadium, Al Khor",2022
Japan , Spain,Match 43,"Khalifa International Stadium, Al Rayyan",2022
Costa Rica , Germany,Match 44,"Al Bayt Stadium, Al Khor",2022
Morocco , Croatia,0–0,"Al Bayt Stadium, Al Khor",2022
Belgium , Canada,1–0,"Ahmad bin Ali Stadium, Al Rayyan",2022
Belgium , Morocco,0–2,"Al Thumama Stadium, Doha",2022
Croatia , Canada,4–1,"Khalifa International Stadium, Al Rayyan",2022
Croatia , Belgium,Match 41,"Ahmad bin Ali Stadium, Al Rayyan",2022
Canada , Morocco,Match 42,"Al Thumama Stadium, Doha",2022
Switzerland , Cameroon,1–0,"Al Janoub Stadium, Al Wakrah",2022
Brazil , Serbia,2–0,"Lusail Iconic Stadium, Lusail",2022
Cameroon , Serbia,Match 29,"Al Janoub Stadium, Al Wakrah",2022
Brazil , Switzerland,Match 31,"Stadium 974, Doha",2022
Serbia , Switzerland,Match 47,"Stadium 974, Doha",2022
Cameroon , Brazil,Match 48,"Lusail Iconic Stadium, Lusail",2022
Uruguay , South Korea,0–0,"Education City Stadium, Al Rayyan",2022
Portugal , Ghana,3–2,"Stadium 974, Doha",2022
South Korea , Ghana,Match 30,"Education City Stadium, Al Rayyan",2022
Portugal , Uruguay,Match 32,"Lusail Iconic Stadium, Lusail",2022
Ghana , Uruguay,Match 45,"Al Janoub Stadium, Al Wakrah",2022
South Korea , Portugal,Match 46,"Education City Stadium, Al Rayyan",2022
Winners Group A,Runners-up Group B,Match 49,"Khalifa International Stadium, Al Rayyan",2022
Winners Group C,Runners-up Group D,Match 50,"Ahmad bin Ali Stadium, Al Rayyan",2022
Winners Group D,Runners-up Group C,Match 52,"Al Thumama Stadium, Doha",2022
Winners Group B,Runners-up Group A,Match 51,"Al Bayt Stadium, Al Khor",2022
Winners Group E,Runners-up Group F,Match 53,"Al Janoub Stadium, Al Wakrah",2022
Winners Group G,Runners-up Group H,Match 54,"Stadium 974, Doha",2022
Winners Group F,Runners-up Group E,Match 55,"Education City Stadium, Al Rayyan",2022
Winners Group H,Runners-up Group G,Match 56,"Lusail Iconic Stadium, Lusail",2022
Winners Match 53,Winners Match 54,Match 58,"Education City Stadium, Al Rayyan",2022
Winners Match 49,Winners Match 50,Match 57,"Lusail Iconic Stadium, Lusail",2022
Winners Match 55,Winners Match 56,Match 60,"Al Thumama Stadium, Doha",2022
Winners Match 51,Winners Match 52,Match 59,"Al Bayt Stadium, Al Khor",2022
Winners Match 57,Winners Match 58,Match 61,"Lusail Iconic Stadium, Lusail",2022
Winners Match 59,Winners Match 60,Match 62,"Al Bayt Stadium, Al Khor",2022
Losers Match 61,Losers Match 62,Match 63,"Khalifa International Stadium, Al Rayyan",2022
Winners Match 61,Winners Match 62,Match 64,"Lusail Iconic Stadium, Lusail",2022
