home,away,score,loc,year
France , Mexico,4–1,"Estadio Pocitos, Montevideo",1930
Argentina , France,1–0,"Estadio Parque Central, Montevideo",1930
Chile , Mexico,3–0,"Estadio Parque Central, Montevideo",1930
Chile , France,1–0,"Estadio Centenario, Montevideo",1930
Argentina , Mexico,6–3,"Estadio Centenario, Montevideo",1930
Argentina , Chile,3–1,"Estadio Centenario, Montevideo",1930
Yugoslavia , Brazil,2–1,"Estadio Parque Central, Montevideo",1930
Yugoslavia , Bolivia,4–0,"Estadio Parque Central, Montevideo",1930
Brazil , Bolivia,4–0,"Estadio Centenario, Montevideo",1930
Romania , Peru,3–1,"Estadio Pocitos, Montevideo",1930
Uruguay , Peru,1–0,"Estadio Centenario, Montevideo",1930
Uruguay , Romania,4–0,"Estadio Centenario, Montevideo",1930
United States , Belgium,3–0,"Estadio Parque Central, Montevideo",1930
United States , Paraguay,3–0,"Estadio Parque Central, Montevideo",1930
Paraguay , Belgium,1–0,"Estadio Centenario, Montevideo",1930
Argentina , United States,6–1,"Estadio Centenario, Montevideo",1930
Uruguay , Yugoslavia,6–1,"Estadio Centenario, Montevideo",1930
Uruguay , Argentina,4–2,"Estadio Centenario, Montevideo",1930
Spain , Brazil,3–1,"Stadio Luigi Ferraris, Genoa",1934
Hungary , Egypt,4–2,"Stadio Giorgio Ascarelli, Naples",1934
Switzerland , Netherlands,3–2,"Stadio San Siro, Milan",1934
Italy , United States,7–1,"Stadio Nazionale PNF, Rome",1934
Czechoslovakia , Romania,2–1,"Stadio Littorio, Trieste",1934
Sweden , Argentina,3–2,"Stadio Littoriale, Bologna",1934
Austria , France,3–2 (a.e.t.),"Stadio Benito Mussolini, Turin",1934
Germany , Belgium,5–2,"Stadio Giovanni Berta, Florence",1934
Austria , Hungary,2–1,"Stadio Littoriale, Bologna",1934
Italy , Spain,1–1 (a.e.t.),"Stadio Giovanni Berta, Florence",1934
Germany , Sweden,2–1,"Stadio San Siro, Milan",1934
Czechoslovakia , Switzerland,3–2,"Stadio Benito Mussolini, Turin",1934
Italy , Spain,1–0,"Stadio Giovanni Berta, Florence",1934
Italy , Austria,1–0,"Stadio San Siro, Milan",1934
Czechoslovakia , Germany,3–1,"Stadio Nazionale PNF, Rome",1934
Germany , Austria,3–2,"Stadio Giorgio Ascarelli, Naples",1934
Italy , Czechoslovakia,2–1 (a.e.t.),"Stadio Nazionale PNF, Rome",1934
Switzerland , Germany,1–1 (a.e.t.),"Parc des Princes, Paris",1938
Hungary , Dutch East Indies,6–0,"Vélodrome Municipal, Reims",1938
Sweden , Austria,w/o[a],"Stade Gerland, Lyon",1938
Cuba , Romania,3–3 (a.e.t.),"Stade du T.O.E.C., Toulouse",1938
France , Belgium,3–1,"Stade Olympique de Colombes, Colombes",1938
Italy , Norway,2–1 (a.e.t.),"Stade Vélodrome, Marseille",1938
Brazil , Poland,6–5 (a.e.t.),"Stade de la Meinau, Strasbourg",1938
Czechoslovakia , Netherlands,3–0 (a.e.t.),"Stade municipal, Le Havre",1938
Switzerland , Germany,4–2,"Parc des Princes, Paris",1938
Cuba , Romania,2–1,"Stade du T.O.E.C., Toulouse",1938
Hungary , Switzerland,2–0,"Stade Victor Boucquey, Lille",1938
Sweden , Cuba,8–0,"Stade du Fort Carré, Antibes",1938
Italy , France,3–1,"Stade Olympique de Colombes, Colombes",1938
Brazil , Czechoslovakia,1–1 (a.e.t.),"Parc Lescure, Bordeaux",1938
Brazil , Czechoslovakia,2–1,"Parc Lescure, Bordeaux",1938
Hungary , Sweden,5–1,"Parc des Princes, Paris",1938
Italy , Brazil,2–1,"Stade Vélodrome, Marseille",1938
Brazil , Sweden,4–2,"Parc Lescure, Bordeaux",1938
Italy , Hungary,4–2,"Stade Olympique de Colombes, Paris",1938
Brazil , Mexico,4–0,"Estádio do Maracanã, Rio de Janeiro",1950
Yugoslavia , Switzerland,3–0,"Estádio Independência, Belo Horizonte",1950
Brazil , Switzerland,2–2,"Estádio do Pacaembu, São Paulo",1950
Yugoslavia , Mexico,4–1,"Estádio dos Eucaliptos, Porto Alegre",1950
Brazil , Yugoslavia,2–0,"Estádio do Maracanã, Rio de Janeiro",1950
Switzerland , Mexico,2–1,"Estádio dos Eucaliptos, Porto Alegre",1950
England , Chile,2–0,"Estádio do Maracanã, Rio de Janeiro",1950
Spain , United States,3–1,"Estádio Durival de Britto, Curitiba",1950
Spain , Chile,2–0,"Estádio do Maracanã, Rio de Janeiro",1950
United States , England,1–0,"Estádio Independência, Belo Horizonte",1950
Spain , England,1–0,"Estádio do Maracanã, Rio de Janeiro",1950
Chile , United States,5–2,"Estádio Ilha do Retiro, Recife",1950
Sweden , Italy,3–2,"Estádio do Pacaembu, São Paulo",1950
Sweden , Paraguay,2–2,"Estádio Durival Britto, Curitiba",1950
Italy , Paraguay,2–0,"Estádio do Pacaembu, São Paulo",1950
Uruguay , Bolivia,8–0,"Estádio Independência, Belo Horizonte",1950
Uruguay , Spain,2–2,"Estádio do Pacaembu, São Paulo",1950
Brazil , Sweden,7–1,"Estádio do Maracanã, Rio de Janeiro",1950
Brazil , Spain,6–1,"Estádio do Maracanã, Rio de Janeiro",1950
Uruguay , Sweden,3–2,"Estádio do Pacaembu, São Paulo",1950
Sweden , Spain,3–1,"Estádio do Pacaembu, São Paulo",1950
Uruguay , Brazil,2–1,"Estádio do Maracanã, Rio de Janeiro",1950
Brazil , Mexico,5–0,"Charmilles Stadium, Geneva",1954
Yugoslavia , France,1–0,"Stade Olympique de la Pontaise, Lausanne",1954
Brazil , Yugoslavia,1–1 (a.e.t.),"Stade Olympique de la Pontaise, Lausanne",1954
France , Mexico,3–2,"Charmilles Stadium, Geneva",1954
West Germany , Turkey,4–1,"Wankdorf Stadium, Bern",1954
Hungary , South Korea,9–0,"Hardturm Stadium, Zürich",1954
Hungary , West Germany,8–3,"St. Jakob Stadium, Basel",1954
Turkey , South Korea,7–0,"Charmilles Stadium, Geneva",1954
West Germany , Turkey,7–2,"Hardturm Stadium, Zürich",1954
Uruguay , Czechoslovakia,2–0,"Wankdorf Stadium, Bern",1954
Austria , Scotland,1–0,"Hardturm Stadium, Zürich",1954
Uruguay , Scotland,7–0,"St. Jakob Stadium, Basel",1954
